Incident Number,Exposure Number,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,Zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,Neighborhood  District,Location
03038944,0,1309 5th Av.,05/16/2003,031360310,05/16/2003 05:08:46 PM,05/16/2003 05:12:38 PM,05/16/2003 05:29:35 PM,SF,,B08,12,,3,11,0,0,0,0,E12,0,0,0,0,0,0,,"743 - smoke detector, no fire, accidental",none,86 - investigate,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07040598,0,Clement St. / 10th Av.,05/21/2007,071410349,05/21/2007 08:33:47 PM,05/21/2007 08:42:06 PM,05/21/2007 08:44:20 PM,SF,94118,B07,31,,1,4,0,0,0,0,E10,,,0,0,0,0,,"600 - good intent call, other",none,86 - investigate,-,-,-,"962 - residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,1,Inner Richmond,"(37.7827500000297, -122.468705)"
13041886,0,533 Sutter St,05/04/2013,131240273,05/04/2013 03:48:42 PM,05/04/2013 03:57:13 PM,05/04/2013 04:10:00 PM,SF,94102,B01,03,1412,1,5,0,0,0,0,T03,,,0,0,0,0,,"500 - service call, other",none,45 - remove hazard,-,-,-,"100 - assembly, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Nob Hill,"(37.7888768800297, -122.40907664)"
04033943,0,17th St. / Valencia St.,04/28/2004,041190231,04/28/2004 02:27:00 PM,04/28/2004 02:29:26 PM,04/28/2004 02:30:01 PM,SF,94110,B02,07,,2,8,0,1,0,0,E07,0,0,0,0,0,0,,"711 - municipal alarm system, street box false",none,86 - investigate,-,-,-,963 - street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Mission,"(37.7628490000296, -122.422005)"
06072645,0,37 Watchman Wy.,09/16/2006,062590314,09/16/2006 06:01:49 PM,09/16/2006 06:05:00 PM,09/16/2006 06:12:47 PM,SF,,B10,37,,3,10,0,0,0,0,E37,0,0,0,0,0,0,,412 - gas leak (natural gas or lpg),none,64 - shut down system,-,-,-,429 - multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04039876,0,1030 Oakdale Av.,05/20/2004,041410107,05/20/2004 09:26:06 AM,05/20/2004 09:28:09 AM,05/20/2004 09:28:56 AM,SF,,B10,17,,3,10,0,0,0,0,E17,0,0,0,0,0,0,,"730 - system malfunction, other",none,86 - investigate,-,-,-,211 - preschool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08105738,0,501 Post St.,12/11/2008,083460225,12/11/2008 12:39:55 PM,12/11/2008 12:44:32 PM,12/11/2008 12:45:56 PM,SF,94102,B01,03,,2,8,0,0,0,0,E03,,,0,0,0,0,,"700 - false alarm or false call, other",none,86 - investigate,-,-,-,"400 - residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Tenderloin,"(37.7880040000297, -122.410132)"
10006910,0,Mission St. / South Van Ness Av.,01/23/2010,100230058,01/23/2010 05:14:26 AM,01/23/2010 05:18:33 AM,01/23/2010 05:18:33 AM,SF,94103,B02,36,,1,4,1,2,0,0,,,,0,0,0,0,,611 - dispatched & canceled en route,none,93 - cancelled enroute,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Mission,"(37.7730520000297, -122.418618)"
04077280,0,517 Arguello Bl.,10/05/2004,042790385,10/05/2004 11:56:58 PM,10/06/2004 12:00:45 AM,10/06/2004 12:07:35 AM,SF,,B07,31,,3,10,0,0,0,0,E31,0,0,0,0,0,0,,735 - alarm system sounded due to malfunction,none,86 - investigate,-,-,-,429 - multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11079732,0,530 Hampshire St.,08/30/2011,112420062,08/30/2011 07:29:46 AM,08/30/2011 07:34:47 AM,08/30/2011 07:39:49 AM,SF,94110,B02,29,,3,10,0,0,0,0,E29,,,0,0,0,0,,745 - alarm system sounded/no fire-accidental,none,86 - investigate,-,-,-,161 - restaurant or cafeteria,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Mission,"(37.7627807600296, -122.40854858)"
05042977,0,724 Battery St.,06/10/2005,051610237,06/10/2005 03:39:02 PM,06/10/2005 03:42:04 PM,06/10/2005 03:49:49 PM,SF,94111,B01,13,,3,11,0,0,0,0,T13,0,0,0,0,0,0,,735 - alarm system sounded due to malfunction,none,86 - investigate,-,-,-,596 - post office or mailing firms,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,"(37.7980856400297, -122.40058748)"
12030355,0,45 Bonita St.,04/01/2012,120920052,04/01/2012 03:35:58 AM,04/01/2012 03:42:23 AM,04/01/2012 03:50:44 AM,SF,94109,B04,41,,3,11,0,0,0,0,E41,,,0,0,0,0,,"700 - false alarm or false call, other",none,86 - investigate,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Russian Hill,"(37.7971368300297, -122.42281997)"
